Category_Name,Category_Url,Main_Category
Kochhilfen & Gewürze,https://shop.rewe.de/c/nahrungsmittel-kochhilfen-gewuerze/,https://shop.rewe.de/c/nahrungsmittel/?source=homepage-category
"Öl, Dressings, Ketchup & Mayo",https://shop.rewe.de/c/nahrungsmittel-oel-dressings-ketchup-mayo/,https://shop.rewe.de/c/nahrungsmittel/?source=homepage-category
Spezielle Ernährung,https://shop.rewe.de/c/nahrungsmittel-spezielle-ernaehrung/,https://shop.rewe.de/c/nahrungsmittel/?source=homepage-category
Eiscreme & Eiswürfel,https://shop.rewe.de/c/tiefkuehl-eiscreme-eiswuerfel/,https://shop.rewe.de/c/tiefkuehl/?source=homepage-category
"Fisch, Fleisch & Geflügel",https://shop.rewe.de/c/tiefkuehl-fisch-fleisch-gefluegel/,https://shop.rewe.de/c/tiefkuehl/?source=homepage-category
"Gemüse, Kräuter & Kartoffelprodukte",https://shop.rewe.de/c/tiefkuehl-gemuese-kraeuter-kartoffelprodukte/,https://shop.rewe.de/c/tiefkuehl/?source=homepage-category
"Obst, Desserts & Backwaren",https://shop.rewe.de/c/tiefkuehl-obst-desserts-backwaren/,https://shop.rewe.de/c/tiefkuehl/?source=homepage-category
Pizza & Fertiggerichte,https://shop.rewe.de/c/tiefkuehl-pizza-fertiggerichte/,https://shop.rewe.de/c/tiefkuehl/?source=homepage-category
"Joghurt, Desserts & Alternativen",https://shop.rewe.de/c/frische-kuehlung-joghurt-pudding-milchsnacks/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Butter & Brotaufstriche,https://shop.rewe.de/c/frische-kuehlung-eier-fett-molkereiprodukte/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Convenience,https://shop.rewe.de/c/frische-kuehlung-convenience/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Eier & Ei-Ersatz,https://shop.rewe.de/c/frische-kuehlung-eier-fett-molkereiprodukte-eier/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Fisch & Meeresfrüchte,https://shop.rewe.de/c/frische-kuehlung-fisch-meeresfruechte/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Fleisch & Fleischersatz,https://shop.rewe.de/c/frische-kuehlung-fleisch/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Käse & Käseersatz,https://shop.rewe.de/c/frische-kuehlung-kaese-kaeseersatz/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Milch & Milchersatz,https://shop.rewe.de/c/frische-kuehlung-milch-milchersatz/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Molkereiprodukte & Alternativen,https://shop.rewe.de/c/frische-kuehlung-molkereiprodukte-alternativen/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
